# generated by scripts/build_synonyms.py from WordNet — do not edit by hand
word	synonym	sense_rank
automaker	carmaker	0
automatic	robotic	1
automatically	mechanically	1
automation	mechanization	0
automaton	zombie	0
automobile	motorcar	0
autonomous	sovereign	0
autonomy	liberty	0
autopsy	postmortem	0
autumn	fall	0
auxiliary	subsidiary	0
avail	help	2
availability	accessibility	0
available	uncommitted	1
availableness	accessibility	0
avatar	embodiment	0
avenge	revenge	0
avenger	retaliator	0
avenging	retaliate	0
avenue	boulevard	1
average	ordinary	1
aversion	distaste	0
avert	deflect	0
averted	deflect	0
aviation	airmanship	2
aviator	airman	0
avid	devouring	0
avocado	aguacate	0
avoid	avert	1
avoidable	avertible	0
avoidance	shunning	0
avowed	professed	0
await	expect	0
awake	alert	1
awaken	arouse	0
awakening	wakening	0
award	honor	1
aware	mindful	1
awareness	consciousness	0
awash	afloat	0
away	off	0
awe	reverence	1
awed	awestruck	1
awesome	amazing	0
awestruck	awed	0
awful	terrible	0
awfully	terribly	0
awfulness	horridness	0
awkward	clumsy	2
awkwardness	clumsiness	0
awning	sunshade	0
awoke	arouse	0
awry	amiss	0
axes	axis	1
axiom	maxim	0
axis	bloc	3
babble	blather	1
babbler	spouter	0
babbling	blather	1
babe	baby	0
babied	coddle	0
baby	babe	0
babyhood	infancy	0
babysitter	sitter	0
babytalk	motherese	0
back	rearward	1
backbone	keystone	0
backbreaking	laborious	0
backdrop	backcloth	0
backed	endorse	0
backer	angel	0
backfire	recoil	0
backfiring	backlash	0
background	ground	1
backing	endorse	0
backlash	recoil	0
backlog	stockpile	2
backpack	knapsack	0
backpacker	packer	0
backside	buttocks	1
backslid	lapse	0
backslide	lapse	0
backslider	recidivist	0
backstop	catcher	0
backswept	sweptback	0
backtalk	sassing	0
backup	relief	1
backward	rearward	0
backwardness	subnormality	0
backwards	rearwards	0
backwash	airstream	0
backwoods	boondocks	0
backwoodsman	frontiersman	0
bactericide	antibacterial	1
bad	big	1
badger	wisconsinite	0
badly	seriously	0
badmouth	malign	0
badness	severity	1
baffle	mystify	0
baffled	gravel	0
bafflement	bemusement	0
baffling	knotty	0
bag	base	2
bagel	beigel	0
baggage	luggage	0
bagged	bulge	2
bagging	bulge	2
baggy	sloppy	0
bagpiper	piper	0
bail	bond	0
bait	lure	0
baits	sweetener	0
bake	broil	2
baked	parched	0
bakeshop	bakehouse	0
baking	bake	0
balance	proportion	2
balanced	equilibrate	0
balancer	haltere	1
balancing	equilibrate	0
bald	barefaced	0
balder	barefaced	0
baldhead	baldpate	0
baldness	phalacrosis	0
bale	basel	1
balk	baulk	0
ball	globe	2
ballad	lay	0
ballast	barretter	3
ballerina	danseuse	0
ballooning	inflate	1
ballot	voting	1
balloting	voting	0
ballpark	park	0
ballpoint	biro	0
balm	salve	1
balminess	softness	0
balmy	loopy	0
baloney	drool	0
bambino	toddler	0
bamboozle	hoodwink	0
bamboozled	hoodwink	0
ban	prohibition	0
band	circle	0
bandage	patch	0
banded	ring	1
banding	ring	1
bandit	brigand	0
bandstand	stand	0
baneful	pestilent	0
bang	slam	0
banger	cracker	1
banging	slam	0
bangle	bauble	1
banish	shun	0
banishment	ostracism	0
banister	bannister	0
bank	cant	6
bankbook	passbook	0
banked	deposit	5
banknote	greenback	0
bankroll	roll	0
bankruptcy	failure	1
banner	streamer	0
banning	censor	0
bannister	banister	1
banquet	feast	0
banter	raillery	0
baptize	christen	0
bar	saloon	0
barb	slam	0
barbarian	savage	0
barbaric	uncivilized	0
barbarism	savagery	0
barbarous	roughshod	0
barbed	biting	0
bare	naked	0
barefaced	bodacious	1
barefoot	shoeless	0
barefooted	shoeless	0
barely	hardly	0
bareness	bleakness	0
barf	honk	0
bargain	deal	0
bargainer	monger	0
baritone	barytone	0
bark	barque	2
barkeep	barman	0
barkeeper	mixologist	0
barker	doggy	1
barking	skin	2
barman	barkeep	0
barnacle	cirriped	0
baron	power	2
barred	exclude	0
barrel	drum	2
barren	bleak	0
barrenness	aridity	1
barricade	roadblock	0
barrier	roadblock	1
barring	exclude	0
bartender	barkeep	0
base	foot	1
baseboard	mopboard	0
based	ground	0
baseless	unfounded	0
basement	cellar	0
baseness	sordidness	0
bases	foot	1
bash	sock	0
bashful	blate	1
bashfully	timidly	0
bashfulness	abashment	0
basic	canonic	1
basically	essentially	0
basics	bedrock	1
basin	watershed	3
basis	ground	0
bask	savor	0
basket	handbasket	0
basketball	hoops	0
bastardization	bastardisation	1
bastardly	misbegot	0
