# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
anonymity	abstract	1.88	46.0	Noun
anonymously	abstract	2.00	35.0	Adverb
answerable	abstract	1.93	9.0	Adjective
anticipate	abstract	1.54	129.0	Verb
anticipation	abstract	1.93	127.0	Noun
anticipatory	abstract	1.69	6.0	Adjective
anticlimactic	abstract	2.00	10.0	Adjective
anticlimax	abstract	1.81	4.0	Noun
antigovernment	abstract	1.85	4.0	Noun
antihuman	abstract	1.58	1.0	Noun
antimatter	abstract	1.77	10.0	Noun
antipathy	abstract	1.55	4.0	Noun
antiquate	abstract	1.80	0.0	#N/A
antirust	abstract	1.96	0.0	#N/A
antisocial	abstract	1.86	41.0	Adjective
antitrust	abstract	1.63	12.0	Noun
anxious	abstract	1.68	719.0	Adjective
anyhow	abstract	1.48	773.0	Adverb
anything	abstract	1.38	46270.0	Pronoun
anytime	abstract	1.57	1248.0	Noun
anyway	abstract	1.68	12164.0	Adverb
anyways	abstract	1.59	444.0	Noun
apathetic	abstract	1.62	18.0	Adjective
apocalyptic	abstract	1.83	18.0	Adjective
apolitical	abstract	1.47	6.0	Adjective
apologetic	abstract	1.88	22.0	Adjective
appall	abstract	1.81	0.0	#N/A
apparent	abstract	1.73	215.0	Adjective
apparently	abstract	1.75	2415.0	Adverb
appeal	abstract	1.73	663.0	Noun
appease	abstract	1.93	25.0	Verb
appeasement	abstract	1.71	10.0	Noun
appeaser	abstract	1.93	2.0	Noun
appeasing	abstract	1.79	3.0	Verb
applicability	abstract	1.69	2.0	Noun
applied	abstract	1.96	314.0	Verb
appraise	abstract	1.73	10.0	Verb
appraising	abstract	1.83	4.0	Verb
appreciable	abstract	1.57	3.0	Adjective
appreciation	abstract	1.63	261.0	Noun
appreciative	abstract	1.93	41.0	Adjective
appreciatively	abstract	1.86	6.0	Adverb
apprehension	abstract	1.68	39.0	Noun
apprehensive	abstract	1.97	28.0	Adjective
apprise	abstract	1.78	7.0	Verb
appropriate	abstract	2.00	657.0	Adjective
appropriately	abstract	1.79	55.0	Adverb
appropriation	abstract	1.96	8.0	Noun
approve	abstract	1.85	580.0	Verb
approximation	abstract	1.85	3.0	Noun
apt	abstract	1.78	89.0	Adjective
aptitude	abstract	1.54	55.0	Noun
aptly	abstract	1.66	20.0	Adverb
aptness	abstract	1.59	0.0	#N/A
arbitrarily	abstract	1.38	17.0	Adverb
arbitrary	abstract	1.62	52.0	Adjective
arbitration	abstract	2.00	23.0	Noun
archetypal	abstract	1.83	7.0	Adjective
ardent	abstract	1.64	30.0	Adjective
ardently	abstract	1.66	1.0	Adverb
arduously	abstract	1.46	0.0	#N/A
arguable	abstract	1.84	0.0	#N/A
arguably	abstract	1.79	19.0	Adverb
arrogance	abstract	1.74	144.0	Noun
arrogantly	abstract	1.93	3.0	Adverb
artfully	abstract	1.81	7.0	Adverb
artificially	abstract	1.81	36.0	Adverb
artistry	abstract	2.00	24.0	Noun
artless	abstract	1.89	3.0	Adjective
artlessly	abstract	1.72	1.0	Adverb
ashamed	abstract	1.74	1396.0	Adjective
ashamedly	abstract	1.56	0.0	#N/A
asinine	abstract	1.67	49.0	Adjective
asocial	abstract	1.96	0.0	#N/A
aspect	abstract	1.82	197.0	Noun
aspiration	abstract	1.81	29.0	Noun
aspire	abstract	1.53	55.0	Verb
aspirer	abstract	2.00	0.0	#N/A
aspiring	abstract	1.87	32.0	Adjective
assessed	abstract	2.00	23.0	Verb
assigned	abstract	1.75	618.0	Verb
associative	abstract	1.93	13.0	Adjective
assumable	abstract	1.73	0.0	#N/A
assume	abstract	1.75	1707.0	Verb
assumed	abstract	1.86	579.0	Verb
assuming	abstract	1.50	566.0	Verb
assumption	abstract	1.84	170.0	Noun
assurable	abstract	1.71	0.0	#N/A
assurance	abstract	1.76	104.0	Noun
assuredly	abstract	1.82	16.0	Adverb
assuring	abstract	1.62	14.0	Verb
astonish	abstract	1.70	23.0	Verb
astonishing	abstract	1.68	87.0	Adjective
astonishingly	abstract	1.55	13.0	Adverb
astound	abstract	1.93	22.0	Verb
astounded	abstract	1.71	12.0	Adjective
astounding	abstract	1.69	66.0	Verb
astronomically	abstract	1.86	3.0	Adverb
astute	abstract	1.85	51.0	Adjective
astutely	abstract	1.65	0.0	#N/A
atheistic	abstract	1.67	2.0	Adjective
athleticism	abstract	1.97	11.0	Noun
atonable	abstract	1.57	0.0	#N/A
atone	abstract	1.88	43.0	Verb
atonement	abstract	1.44	18.0	Noun
atrocious	abstract	1.69	35.0	Adjective
atrociously	abstract	1.65	6.0	Adverb
attempted	abstract	2.00	392.0	Adjective
attentive	abstract	1.78	66.0	Adjective
attentively	abstract	1.97	15.0	Adverb
attest	abstract	1.89	22.0	Verb
attitude	abstract	1.97	1330.0	Noun
attractively	abstract	1.93	3.0	Adverb
attributable	abstract	1.81	5.0	Adjective
atypical	abstract	1.93	19.0	Adjective
audacious	abstract	1.63	26.0	Adjective
audacity	abstract	1.62	48.0	Noun
auspices	abstract	1.86	6.0	Noun
auspicious	abstract	1.96	26.0	Adjective
austere	abstract	1.96	11.0	Adjective
austerity	abstract	1.38	5.0	Noun
authentically	abstract	1.89	3.0	Adverb
authentication	abstract	2.00	14.0	Noun
authenticity	abstract	1.74	59.0	Noun
authoritative	abstract	1.68	10.0	Adjective
autocratic	abstract	1.74	4.0	Adjective
autonomous	abstract	2.00	11.0	Adjective
avail	abstract	1.33	43.0	Verb
availably	abstract	1.64	0.0	#N/A
aversely	abstract	2.00	0.0	#N/A
aversion	abstract	1.85	68.0	Noun
avertedly	abstract	1.59	0.0	#N/A
